address,tx,ty,tz
0x2290d021ffc,7.32571,1.4013e-45,0
0x2290d022010,0,0,3.50325e-44
0x2290d02208c,2.36206,2.36206,2.36206
0x2290d022184,0,0,2.36206
0x2290d02218c,2.36206,0,0
0x2290d0221f0,145.415,1,3.58732e-43
0x2290d0221f4,1,3.58732e-43,0
0x2290d022224,0,5.08031,17.5213
0x2290d022228,5.08031,17.5213,1.93963
0x2290d02222c,17.5213,1.93963,-5.13869
0x2290d022230,1.93963,-5.13869,-0.658438
0x2290d022234,-5.13869,-0.658438,-2.4343
0x2290d022238,-0.658438,-2.4343,5.1095
0x2290d02223c,-2.4343,5.1095,9.08985
0x2290d022240,5.1095,9.08985,2.18697
0x2290d022244,9.08985,2.18697,1.4013e-45
0x2290d02236c,7.32562,1.4013e-45,0
0x2290d0223b0,0,0,0
0x2290d0223b4,0,0,1
0x2290d0223b8,0,1,1
0x2290d0223bc,1,1,1
0x2290d0223c0,1,1,1
0x2290d0223c4,1,1,0
0x2290d0223c8,1,0,0
0x2290d0223cc,0,0,0
0x2290d0223d0,0,0,1
0x2290d0223d8,1,0,0
0x2290d0223f4,0.594186,335.983,2.36206
0x2290d0223fc,2.36206,2.36206,2.36206
0x2290d022400,2.36206,2.36206,-0.999982
0x2290d0224f4,0,0,2.36206
0x2290d0224fc,2.36206,0,0
0x2290d022560,145.415,1,3.58732e-43
0x2290d022564,1,3.58732e-43,0
0x2290d02cbdc,7.32854,1.4013e-45,0
0x2290d02cc30,1.8108,1.8108,0.0559863
0x2290d02cc6c,1.8108,1.8108,1.8108
0x2290d02cd54,0,0.10138,0
0x2290d02cd58,0.10138,0,1.80796
0x2290d02cd64,0,0,1.8108
0x2290d02cd6c,1.8108,0,0
0x2290d02cdc4,0,-53.3236,-0.251238
0x2290d02cdc8,-53.3236,-0.251238,368.712
0x2290d02cdd0,368.712,1,3.58732e-43
0x2290d02cdd4,1,3.58732e-43,0
0x2290d02ce04,0,4.96294,17.2005
0x2290d02ce08,4.96294,17.2005,1.13783
0x2290d02ce0c,17.2005,1.13783,-3.01903
0x2290d02ce10,1.13783,-3.01903,-0.228953
0x2290d02ce14,-3.01903,-0.228953,-3.13061
0x2290d02ce18,-0.228953,-3.13061,3.99098
0x2290d02ce1c,-3.13061,3.99098,8.7147
0x2290d02ce20,3.99098,8.7147,2.13422
0x2290d02ce24,8.7147,2.13422,1.4013e-45
0x2290d02cf4c,7.32854,1.4013e-45,0
0x2290d02cfa0,1,1,1
0x2290d02cfa4,1,1,0
0x2290d02cfd4,0.454941,59.0267,1.8108
0x2290d02cfdc,1.8108,1.8108,1.8108
0x2290d02cfe0,1.8108,1.8108,0.0559863
0x2290d02d0c4,0,0.10138,0
0x2290d02d0c8,0.10138,0,1.80796
0x2290d02d0d4,0,0,1.8108
0x2290d02d0dc,1.8108,0,0
0x2290d02d134,0,-53.3236,-0.251238
0x2290d02d138,-53.3236,-0.251238,368.712
0x2290d02d140,368.712,1,3.58732e-43
0x2290d02d144,1,3.58732e-43,0
0x2290d034e7c,7.3311,1.4013e-45,0
0x2290d034ebc,7.74918e-43,199.331,0.454941
0x2290d034ec0,199.331,0.454941,181.351
0x2290d034ec4,0.454941,181.351,2.48499
0x2290d034ec8,181.351,2.48499,2.48499
0x2290d034ed0,2.48499,2.48499,-0.153964
0x2290d034ed4,2.48499,-0.153964,0
0x2290d034f0c,2.48499,2.48499,2.48499
0x2290d034f14,2.48499,-0.153964,0
0x2290d034f4c,1,1.31161e-22,7.74918e-43
0x2290d034fc4,1,1,1
0x2290d034fc8,1,1,1
0x2290d034fcc,1,1,0
0x2290d034fd0,1,0,0
0x2290d034fd4,0,0,0
0x2290d034fd8,0,0,1
0x2290d034fe0,1,0,0
0x2290d035004,0,0,2.48499
0x2290d03500c,2.48499,0,0
0x2290d03501c,0,-0.382598,0
0x2290d035068,84.4584,-0.183076,-68.0218
