address,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
0x9a496fe290,4.1326e-40,-8.95396e-39,-3.20154e-20,6.76827e-43,1.4013e-45,0,1.42345e-38,-8.95396e-39,-3.20247e-20,6.76827e-43,1.4013e-45,6.76827e-43,2.41527e-38,-8.95396e-39,-3.20182e-20,6.76827e-43
0x9a496fe2a8,1.42345e-38,-8.95396e-39,-3.20247e-20,6.76827e-43,1.4013e-45,6.76827e-43,2.41527e-38,-8.95396e-39,-3.20182e-20,6.76827e-43,1.4013e-45,-8.97692e-39,3.67268e-22,-8.95396e-39,-3.20703e-20,6.76827e-43
0x9a496fe2c0,2.41527e-38,-8.95396e-39,-3.20182e-20,6.76827e-43,1.4013e-45,-8.97692e-39,3.67268e-22,-8.95396e-39,-3.20703e-20,6.76827e-43,1.4013e-45,6.76827e-43,4.59177e-41,-8.95396e-39,-3.20117e-20,6.76827e-43
0x9a496fe2d8,3.67268e-22,-8.95396e-39,-3.20703e-20,6.76827e-43,1.4013e-45,6.76827e-43,4.59177e-41,-8.95396e-39,-3.20117e-20,6.76827e-43,1.4013e-45,6.76827e-43,-4.25542e+26,-8.95463e-39,-3.20284e-20,6.76827e-43
0x9a496fe2dc,-8.95396e-39,-3.20703e-20,6.76827e-43,1.4013e-45,6.76827e-43,4.59177e-41,-8.95396e-39,-3.20117e-20,6.76827e-43,1.4013e-45,6.76827e-43,-4.25542e+26,-8.95463e-39,-3.20284e-20,6.76827e-43,1.4013e-45
0x9a496fe308,-4.25542e+26,-8.95463e-39,-3.20284e-20,6.76827e-43,1.4013e-45,-8.99914e-39,38272,-8.9568e-39,-3.20042e-20,6.76827e-43,1.4013e-45,6.76827e-43,1.73719e-31,-8.95692e-39,-3.20452e-20,6.76827e-43
0x9a496fe30c,-8.95463e-39,-3.20284e-20,6.76827e-43,1.4013e-45,-8.99914e-39,38272,-8.9568e-39,-3.20042e-20,6.76827e-43,1.4013e-45,6.76827e-43,1.73719e-31,-8.95692e-39,-3.20452e-20,6.76827e-43,1.4013e-45
0x9a496fe320,38272,-8.9568e-39,-3.20042e-20,6.76827e-43,1.4013e-45,6.76827e-43,1.73719e-31,-8.95692e-39,-3.20452e-20,6.76827e-43,1.4013e-45,6.76827e-43,1.53415e-17,-8.95762e-39,-3.20052e-20,6.76827e-43
0x9a496fe324,-8.9568e-39,-3.20042e-20,6.76827e-43,1.4013e-45,6.76827e-43,1.73719e-31,-8.95692e-39,-3.20452e-20,6.76827e-43,1.4013e-45,6.76827e-43,1.53415e-17,-8.95762e-39,-3.20052e-20,6.76827e-43,1.4013e-45
0x9a496fe338,1.73719e-31,-8.95692e-39,-3.20452e-20,6.76827e-43,1.4013e-45,6.76827e-43,1.53415e-17,-8.95762e-39,-3.20052e-20,6.76827e-43,1.4013e-45,-8.97692e-39,-5.02913e+26,-8.95866e-39,-3.20108e-20,6.76827e-43
